ID,PLAYER,TEAM,AGE,GP,W,L,MIN,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,Plus/Minus,AllStarRank
108,Malik Monk,CHA,23,22,10,12,22.7,13.5,4.7,10.1,46.2,2.5,5.6,43.9,1.7,2.1,78.7,0.4,2.5,2.9,1.9,1.5,0.3,0.1,1.5,19.3,0,0,1.9,118.2
109,Jarrett Allen,CLE,23,35,14,21,27.9,13.5,4.9,7.3,66.9,0.1,0.2,50,3.5,4.7,74.1,3.2,6.7,9.9,1.7,1.5,0.5,1.7,1.6,32.8,16,0,-0.3,50
110,Myles Turner,IND,25,33,16,17,31.5,13.5,4.7,9.8,48.4,1.5,4.6,31.4,2.5,3.3,77.8,1.4,5.2,6.5,0.9,1.4,1,3.4,3.5,34.5,7,0,1.2,48
111,Kyle Anderson,MEM,27,30,15,15,27.6,13.4,4.9,10.2,47.7,1.5,4,38,2.1,2.8,76.2,0.9,5.2,6.1,3.5,1.5,1.2,0.7,1.8,30.1,2,0,0.9,63.2
112,Patty Mills,SAS,32,32,18,14,25.8,13.3,4.7,10.5,44.8,2.8,6.8,40.2,1.1,1.3,90,0.3,1.5,1.8,2.7,1.1,0.6,0,1.4,20.4,0,0,3.9,93
113,Tyrese Haliburton,SAC,21,30,12,18,30.1,13.2,5.1,10.3,49.4,2.4,5.5,43.3,0.7,0.8,83.3,1,2.6,3.6,5.4,1.5,1.4,0.6,1.2,30,1,0,-3,59.2
114,Doug McDermott,IND,29,34,16,18,25.9,13.2,5.1,10.1,50.6,1.6,4.4,36.4,1.3,1.6,81.8,1,3,4,1.3,1,0.3,0.1,1.7,20.2,0,0,1.5,64.2
115,Marcus Smart,BOS,27,17,9,8,32.3,13.1,4.4,11.1,39.4,1.6,5.3,31.1,2.7,3.6,74.2,0.4,2.4,2.8,6.1,1.8,1.8,0.5,2.3,30.8,2,0,-0.2,54.2
116,Richaun Holmes,SAC,27,32,14,18,29.4,13,5.6,8.6,65.1,0,0.2,16.7,1.8,2.3,80.6,2.5,5.8,8.3,1.7,1.3,0.7,1.5,4,30.9,11,0,-0.4,64
117,Markelle Fultz,ORL,23,8,6,2,26.9,12.9,5.1,13,39.4,0.5,2,25,2.1,2.4,89.5,0.6,2.5,3.1,5.4,2.3,1,0.3,2.3,26.2,1,0,-3.6,104.2
